latency,bram,latency_bram_product,design_name,optimizer_name
16156,54,872424,k15mmseq_relu_imbalanced__opt5,random_search
12761,74,944314,k15mmseq_relu_imbalanced__opt5,random_search
14880,64,952320,k15mmseq_relu_imbalanced__opt5,random_search
22400,46,1030400,k15mmseq_relu_imbalanced__opt5,random_search
12311,82,1009502,k15mmseq_relu_imbalanced__opt5,random_search
11045,20,220900,k15mmseq_relu_imbalanced__opt5,group_random_search
8477,22,186494,k15mmseq_relu_imbalanced__opt5,group_random_search
11324,16,181184,k15mmseq_relu_imbalanced__opt5,group_random_search
11886,12,142632,k15mmseq_relu_imbalanced__opt5,group_random_search
8474,0,0,k15mmseq_relu_imbalanced__opt5,heuristic
11045,20,220900,k15mmseq_relu_imbalanced__opt5,init_simulated_annealing
8477,22,186494,k15mmseq_relu_imbalanced__opt5,init_simulated_annealing
11324,16,181184,k15mmseq_relu_imbalanced__opt5,init_simulated_annealing
11886,12,142632,k15mmseq_relu_imbalanced__opt5,init_simulated_annealing
12599,34,428366,k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing
8486,42,356412,k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing
22215,20,444300,k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing
16146,24,387504,k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing
12288,36,442368,k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing
12823,30,384690,k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing
8474,0,0,k15mmseq_relu_imbalanced__opt5,grouped_discrete_simulated_annealing
47927,120,5751240,k15mmtree__opt5,random_search
54269,100,5426900,k15mmtree__opt5,random_search
45688,148,6761824,k15mmtree__opt5,random_search
48114,114,5484996,k15mmtree__opt5,random_search
54493,98,5340314,k15mmtree__opt5,random_search
20321,144,2926224,k15mmtree__opt5,group_random_search
23371,64,1495744,k15mmtree__opt5,group_random_search
48109,0,0,k15mmtree__opt5,group_random_search
29416,16,470656,k15mmtree__opt5,group_random_search
23372,48,1121856,k15mmtree__opt5,group_random_search
22824,80,1825920,k15mmtree__opt5,group_random_search
20321,96,1950816,k15mmtree__opt5,heuristic
26193,94,2462142,k15mmtree__opt5,heuristic
20321,144,2926224,k15mmtree__opt5,init_simulated_annealing
23371,64,1495744,k15mmtree__opt5,init_simulated_annealing
48109,0,0,k15mmtree__opt5,init_simulated_annealing
29416,16,470656,k15mmtree__opt5,init_simulated_annealing
23372,48,1121856,k15mmtree__opt5,init_simulated_annealing
22824,80,1825920,k15mmtree__opt5,init_simulated_annealing
41839,74,3096086,k15mmtree__opt5,discrete_simulated_annealing
54375,56,3045000,k15mmtree__opt5,discrete_simulated_annealing
47800,68,3250400,k15mmtree__opt5,discrete_simulated_annealing
35815,78,2793570,k15mmtree__opt5,discrete_simulated_annealing
35807,82,2936174,k15mmtree__opt5,discrete_simulated_annealing
35626,92,3277592,k15mmtree__opt5,discrete_simulated_annealing
47887,66,3160542,k15mmtree__opt5,discrete_simulated_annealing
54396,54,2937384,k15mmtree__opt5,discrete_simulated_annealing
41890,70,2932300,k15mmtree__opt5,discrete_simulated_annealing
26872,0,0,k15mmtree__opt5,grouped_discrete_simulated_annealing
23371,16,373936,k15mmtree__opt5,grouped_discrete_simulated_annealing
20321,64,1300544,k15mmtree__opt5,grouped_discrete_simulated_annealing
22824,32,730368,k15mmtree__opt5,grouped_discrete_simulated_annealing
19488,70,1364160,k15mmtree_imbalanced__opt5,random_search
19278,114,2197692,k15mmtree_imbalanced__opt5,random_search
19279,112,2159248,k15mmtree_imbalanced__opt5,random_search
19374,78,1511172,k15mmtree_imbalanced__opt5,random_search
16232,2,32464,k15mmtree_imbalanced__opt5,group_random_search
22187,0,0,k15mmtree_imbalanced__opt5,group_random_search
16232,2,32464,k15mmtree_imbalanced__opt5,heuristic
16232,2,32464,k15mmtree_imbalanced__opt5,init_simulated_annealing
22187,0,0,k15mmtree_imbalanced__opt5,init_simulated_annealing
19263,60,1155780,k15mmtree_imbalanced__opt5,discrete_simulated_annealing
19374,54,1046196,k15mmtree_imbalanced__opt5,discrete_simulated_annealing
