optimizer,test_case,elapsed_time,n_samples
DiscreteSimulatedAnnealingOptimizer,k15mmseq_imbalanced,1.5233961690682918,1000
DiscreteSimulatedAnnealingOptimizer,k15mmseq_relu,10.290501120965928,1000
DiscreteSimulatedAnnealingOptimizer,k15mmseq_relu_imbalanced,3.0294024660252035,1000
DiscreteSimulatedAnnealingOptimizer,k15mmtree,2.31946212798357,1000
DiscreteSimulatedAnnealingOptimizer,k15mmtree_imbalanced,2.5633263709023595,1000
DiscreteSimulatedAnnealingOptimizer,k15mmtree_relu,7.985677375923842,1000
DiscreteSimulatedAnnealingOptimizer,k15mmtree_relu_imbalanced,5.761223815148696,1000
DiscreteSimulatedAnnealingOptimizer,k2mm,5.444914899999276,1000
DiscreteSimulatedAnnealingOptimizer,k3mm,7.942066011950374,1000
DiscreteSimulatedAnnealingOptimizer,k7mmseq_balanced,1.3055567790288478,1000
DiscreteSimulatedAnnealingOptimizer,k7mmseq_unbalanced,1.4160098088905215,1000
DiscreteSimulatedAnnealingOptimizer,k7mmtree_balanced,0.9258653779979795,1000
DiscreteSimulatedAnnealingOptimizer,k7mmtree_unbalanced,1.4110170050989836,1000
DiscreteSimulatedAnnealingOptimizer,mvt,7.675708226161078,1000
GroupedDiscreteSimulatedAnnealingOptimizer,Autoencoder,19.65715157496743,1000
GroupedDiscreteSimulatedAnnealingOptimizer,DepthwiseSeparableConvBlock,14.819530054926872,1000
GroupedDiscreteSimulatedAnnealingOptimizer,FeedForward,25.575634313980117,1000
GroupedDiscreteSimulatedAnnealingOptimizer,ResMLP,45.870625384151936,1000
GroupedDiscreteSimulatedAnnealingOptimizer,ResidualBlock,14.660528177861124,1000
GroupedDiscreteSimulatedAnnealingOptimizer,atax,11.08026406983845,1000
GroupedDiscreteSimulatedAnnealingOptimizer,bicg,0.13469614391215146,1000
GroupedDiscreteSimulatedAnnealingOptimizer,gemm,6.470486075850204,1000
GroupedDiscreteSimulatedAnnealingOptimizer,gesummv,0.08241220004856586,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmseq,3.4648567971307784,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmseq_imbalanced,1.3356416739989072,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmseq_relu,7.149198947008699,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmseq_relu_imbalanced,1.6505474329460412,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmtree,3.036738389870152,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmtree_imbalanced,4.0887825100217015,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmtree_relu,7.540137831820175,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k15mmtree_relu_imbalanced,5.699653045972809,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k2mm,7.241573174018413,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k3mm,7.206008811015636,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k7mmseq_balanced,1.2783650469500571,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k7mmseq_unbalanced,1.4453058000653982,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k7mmtree_balanced,1.1778043450322002,1000
GroupedDiscreteSimulatedAnnealingOptimizer,k7mmtree_unbalanced,1.4140845951624215,1000
GroupedDiscreteSimulatedAnnealingOptimizer,mvt,10.812825527973473,1000
