design_name,optimizer_name,latency_reduction,bram_increase,deadlock
k7mmseq_unbalanced,discrete_simulated_annealing,0.6148136812303925,54,False
k7mmseq_unbalanced,grouped_discrete_simulated_annealing,0.38369423827377763,0,False
k7mmtree_unbalanced,random_search,0.8343632752151843,82,False
k7mmtree_unbalanced,group_random_search,0.4826749062017215,64,False
k7mmtree_unbalanced,heuristic,0.4826749062017215,128,False
k7mmtree_unbalanced,discrete_simulated_annealing,0.6393732067976164,62,False
k7mmtree_unbalanced,grouped_discrete_simulated_annealing,0.4826749062017215,64,False
mvt,random_search,1.46996996996997,122,False
mvt,group_random_search,1.0,0,False
mvt,heuristic,1.0,0,False
mvt,discrete_simulated_annealing,1.46996996996997,80,False
mvt,grouped_discrete_simulated_annealing,1.0,0,False
